	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
5537	scinder						4.0	1.0					3.0							38.0								4.0		2.0						1.0			1.0		8.0	21.0	6.0	17.0	9.0	30.0							145.0
5538	scintiller						22.0		3.0		1.0	3.0	3.0			1.0		16.0	22.0	61.0								3.0	21.0	39.0					1.0		6.0	4.0	4.0	13.0	112.0	144.0				12.0							491.0
5539	scissionner																			1.0																																	1.0
5540	scléroser								1.0									1.0	1.0	2.0										1.0												5.0	5.0	6.0	1.0	7.0							30.0
5541	scolariser																		2.0	15.0								1.0								1.0			1.0		2.0	5.0		38.0	38.0	49.0							152.0
5542	scotcher								2.0				2.0		3.0			2.0	2.0	102.0							2.0	9.0	20.0	2.0		1.0						12.0	2.0	42.0	4.0	24.0	21.0	101.0	67.0	315.0							735.0
5543	scratcher												2.0		1.0			1.0	1.0	15.0																		3.0		6.0	2.0	9.0			2.0	6.0							48.0
5544	scribouiller																			4.0									1.0											1.0													6.0
5545	scruter					2.0	5.0	1.0	4.0	1.0		4.0	5.0	1.0	10.0	1.0		8.0	26.0	136.0							1.0	15.0	8.0	33.0							2.0	34.0	11.0	7.0	29.0	74.0	6.0	19.0	13.0	79.0							535.0
5546	sculpter						9.0	1.0	8.0	3.0	3.0		3.0		7.0	3.0	1.0	3.0	10.0	257.0							1.0	3.0	2.0	28.0						1.0	1.0	45.0	5.0	13.0	14.0	59.0	38.0	78.0	41.0	267.0							904.0
5547	scénariser																		1.0																			3.0					3.0	5.0	2.0	15.0							29.0
5548	seconder				3.0		5.0		15.0	12.0	7.0	2.0	19.0		4.0	5.0	2.0	1.0	4.0	135.0							2.0	4.0	5.0	3.0							1.0	49.0	9.0	13.0	4.0	174.0	1.0	10.0	5.0	51.0							545.0
5549	secouer		1.0			3.0	28.0	5.0	17.0	4.0	4.0	6.0	32.0		19.0	4.0	5.0	13.0	87.0	1822.0							32.0	369.0	710.0	94.0	1.0	7.0	1.0		4.0	12.0		122.0	77.0	154.0	67.0	502.0	35.0	571.0	210.0	1343.0				4.0			6365.0
5550	secourir		2.0			1.0	2.0	1.0	1.0		2.0	2.0	9.0	3.0	3.0	3.0		4.0	6.0	1082.0							4.0	55.0	3.0	18.0						2.0	5.0	37.0	7.0	4.0	5.0	18.0	14.0	165.0	144.0	426.0	2.0	5.0		1.0		29.0	2065.0
5551	secréter		1.0				1.0							10.0	1.0				1.0	5.0								1.0	3.0	3.0						1.0		4.0		2.0	10.0	236.0	3.0	5.0		4.0							291.0
5552	sectionner						1.0		1.0				3.0				1.0		4.0	87.0								8.0	6.0	31.0		1.0				1.0		13.0	2.0	3.0	5.0	25.0	23.0	156.0	40.0	241.0							652.0
5553	sectoriser																			2.0																										1.0							3.0
5554	segmenter																		1.0	6.0								1.0		1.0											1.0		2.0		2.0	6.0							20.0
5555	seller						4.0		3.0						1.0	1.0			2.0	154.0							2.0	60.0	24.0	2.0		1.0					1.0	15.0	2.0	6.0	2.0	36.0	1.0	10.0	28.0	54.0				1.0			410.0
5556	sembler		1.0	1.0		7.0	110.0	1.0	46.0	3.0	11.0	46.0	398.0	13.0	58.0	457.0	547.0	975.0	9819.0	2488.0						3.0	3.0	77.0	1479.0	2200.0		22.0	5.0	3.0	37.0	5416.0	112.0	394.0	6025.0	3518.0	5405.0	52128.0	2.0	24.0	2.0	1987.0			1.0		1.0	19.0	93844.0
5557	semer	1.0	3.0		1.0	9.0	22.0	11.0	10.0	11.0	5.0	6.0	60.0	2.0	6.0	3.0	3.0	11.0	43.0	1703.0							24.0	46.0	80.0	96.0		2.0		2.0		25.0	14.0	65.0	79.0	93.0	170.0	548.0	35.0	102.0	366.0	949.0				1.0			4607.0
5558	semoncer						1.0													3.0								2.0														1.0											7.0
5559	sensibiliser												2.0						1.0	76.0							2.0		1.0	1.0								1.0			2.0	12.0		8.0	11.0	27.0							144.0
5560	sentimentaliser																			2.0									1.0													2.0											5.0
5561	sentir		132.0		1.0	17.0	252.0	40.0	715.0	1006.0	1666.0	199.0	953.0	100.0	6222.0	704.0	644.0	386.0	4031.0	25218.0					1.0		14.0	1249.0	2925.0	516.0	20.0	1137.0	204.0	521.0	86.0	425.0	359.0	52819.0	9162.0	17184.0	3356.0	21458.0	46.0	2689.0	249.0	10631.0		533.0	11.0	1077.0	1.0	1301.0	170260.0
5562	seoir												17.0						3.0																2.0	25.0					8.0	326.0											381.0
5563	septupler																												1.0																1.0								2.0
5564	seriner														2.0		1.0	1.0	8.0	13.0																		1.0	3.0	7.0	1.0	9.0	2.0	3.0	1.0	4.0							56.0
5565	seringuer																			1.0																		1.0				1.0			1.0								4.0
5566	sermonner						1.0		3.0		1.0				2.0	1.0	2.0	1.0	6.0	258.0								26.0	18.0	9.0				1.0		1.0		12.0	9.0	27.0	3.0	37.0	1.0	22.0	3.0	69.0							513.0
5567	serons																			1.0																																	1.0
5568	serpenter											1.0	6.0		1.0			1.0	11.0	10.0									1.0	14.0								1.0	1.0	1.0	8.0	19.0				2.0							77.0
5569	serrer		19.0		13.0	3.0	79.0	4.0	92.0	20.0	14.0	15.0	88.0	8.0	94.0	31.0	32.0	31.0	242.0	3541.0							177.0	1134.0	477.0	230.0	1.0	93.0	2.0	4.0	3.0	21.0	65.0	403.0	263.0	352.0	268.0	1226.0	88.0	405.0	285.0	2162.0		1.0		6.0	1.0	3.0	11996.0
5570	sertir																			2.0																				1.0		2.0	7.0	39.0	7.0	30.0							88.0
5571	servir		7.0		1.0	17.0	172.0	106.0	647.0	208.0	213.0	467.0	2643.0	31.0	308.0	148.0	139.0	460.0	1771.0	20865.0						2.0	77.0	2318.0	3736.0	615.0	9.0	165.0	27.0	59.0	104.0	1259.0	319.0	4161.0	1073.0	1734.0	3924.0	16927.0	116.0	1011.0	707.0	10456.0		218.0	2.0	125.0	2.0	1048.0	78397.0
5572	sevrer						1.0						1.0					1.0	2.0	133.0							1.0	4.0	2.0	1.0						1.0	1.0	4.0	3.0	2.0		9.0	2.0	38.0	19.0	88.0							313.0
5573	sextupler																																												1.0	1.0							2.0
5574	sexualiser														1.0					15.0									1.0	1.0										1.0	3.0	6.0	1.0	4.0	2.0	13.0							48.0
5575	shampooiner														1.0				2.0	10.0									1.0									1.0		1.0		1.0				3.0							20.0
5576	shampouiner							1.0							1.0		3.0	1.0		29.0									1.0	2.0						1.0		2.0	1.0		1.0	5.0		2.0	1.0	4.0							55.0
5577	shooter								5.0	1.0		2.0	3.0		14.0	4.0	14.0	5.0	31.0	527.0							1.0	17.0	124.0	16.0		3.0		1.0		4.0		69.0	8.0	57.0	36.0	133.0	15.0	125.0	42.0	295.0				1.0			1553.0
5578	shunter																			4.0										4.0								3.0			1.0	3.0		1.0	1.0	3.0							20.0
5579	sidérer											1.0	2.0						1.0	8.0									11.0	4.0								37.0	6.0	16.0	3.0	35.0	1.0	58.0	29.0	123.0							335.0
5580	siester				3.0		49.0																																	2.0		16.0								3.0			73.0
5581	siffler					1.0	12.0		44.0	2.0	8.0	13.0	52.0		17.0	3.0	8.0	57.0	93.0	803.0							6.0	99.0	127.0	89.0		5.0		1.0	2.0	7.0	1.0	85.0	45.0	98.0	232.0	864.0	5.0	20.0	1.0	205.0		1.0		1.0			3007.0
5582	siffloter								1.0								1.0		2.0	30.0								2.0	4.0	22.0						2.0		4.0	2.0	5.0	6.0	104.0				4.0							189.0
5583	sigler																			3.0																																	3.0
5584	signaler		1.0				8.0	6.0	67.0	18.0	2.0	14.0	61.0		9.0	9.0		10.0	37.0	3353.0							24.0	318.0	100.0	106.0		15.0	3.0	1.0	3.0	12.0	13.0	732.0	58.0	53.0	230.0	861.0	72.0	301.0	187.0	2725.0		1.0		2.0			9412.0
5585	signaliser																																											2.0		2.0							4.0
5586	signer		1.0			9.0	54.0	40.0	667.0	144.0	80.0	52.0	353.0	7.0	60.0	219.0	24.0	22.0	155.0	10750.0							78.0	2434.0	460.0	215.0	2.0	95.0	37.0	33.0	6.0	96.0	58.0	1614.0	593.0	829.0	281.0	2072.0	141.0	746.0	460.0	8837.0				4.0			31728.0
5587	signifier		1.0				6.0		29.0	1.0	2.0	12.0	142.0		13.0		13.0	74.0	1397.0	911.0							2.0	17.0	1410.0	136.0		4.0			8.0	544.0	6.0	203.0	82.0	45.0	800.0	23741.0	3.0	6.0	2.0	208.0					1.0	1.0	29820.0
5588	silhouetter												1.0																													2.0											3.0
5589	siliconer											2.0								2.0																						24.0	11.0	14.0	17.0	9.0							79.0
5590	sillonner	1.0	2.0				1.0	1.0	2.0		2.0	2.0	2.0	1.0	3.0	1.0	2.0	18.0	16.0	60.0							1.0	3.0	1.0	13.0						1.0	3.0	12.0	3.0	2.0	47.0	57.0	2.0	5.0	1.0	67.0							332.0
5591	simplifier							1.0	3.0	1.0	2.0		24.0		2.0	1.0	2.0	1.0	11.0	415.0							32.0	29.0	31.0	4.0			1.0			41.0	2.0	37.0	17.0	13.0	5.0	136.0	28.0	53.0	3.0	107.0							1002.0
5592	simuler					1.0	3.0		18.0	3.0	3.0	2.0	16.0	1.0	37.0	5.0	20.0	6.0	74.0	831.0							17.0	29.0	37.0	79.0		4.0			1.0	15.0	10.0	66.0	31.0	69.0	57.0	325.0	9.0	25.0	9.0	597.0				1.0			2401.0
5593	singer															1.0		1.0	2.0	68.0								3.0	6.0	7.0								1.0	2.0	4.0	1.0	83.0		1.0	1.0	4.0				15.0			200.0
5594	singulariser						1.0													8.0																				1.0	1.0	3.0				3.0							17.0
5595	siniser						9.0																																														9.0
5596	sinuer																			1.0										1.0												2.0											4.0
5597	siphonner								1.0				1.0		1.0	3.0	1.0	2.0	7.0	97.0							1.0	3.0	7.0	7.0							1.0	5.0	3.0	4.0	9.0	28.0		14.0	1.0	70.0							266.0
5598	siroter						19.0		14.0	2.0	3.0		14.0	1.0	10.0	4.0	7.0	4.0	19.0	257.0							3.0	5.0	17.0	122.0		1.0				2.0	1.0	31.0	8.0	15.0	21.0	40.0	2.0	1.0	2.0	24.0							649.0
5599	situer				1.0		4.0	1.0	4.0				13.0		2.0		2.0	11.0	63.0	298.0							5.0	8.0	6.0	25.0		6.0	6.0	2.0		24.0	13.0	63.0	85.0	54.0	154.0	995.0	133.0	579.0	175.0	862.0		1.0		2.0	1.0	1.0	3599.0
5600	siéger						2.0	3.0	2.0	10.0	5.0	2.0	14.0		8.0	2.0	2.0	4.0	20.0	180.0							1.0	1.0	5.0	11.0			1.0			1.0	5.0	35.0	18.0	12.0	44.0	227.0				55.0				4.0			674.0
5601	skier								4.0		4.0		1.0		9.0	1.0	3.0	1.0	18.0	552.0							4.0	4.0	4.0	29.0			1.0	1.0			2.0	19.0	29.0	118.0	11.0	42.0				58.0							915.0
5602	slalomer									2.0	1.0								3.0	14.0									3.0	3.0								2.0		1.0	2.0	2.0				4.0							37.0
5603	slicer																		1.0	4.0									5.0									2.0		1.0		6.0	1.0	2.0		3.0							25.0
5604	smasher												1.0				1.0		5.0	52.0									12.0			1.0							1.0	1.0		18.0		1.0		12.0							105.0
5605	smiller						44.0							1.0																																							45.0
5606	snifer										1.0									10.0									3.0			1.0								1.0		2.0				3.0							21.0
5607	sniffer								3.0		2.0		4.0		13.0	3.0	13.0	8.0	55.0	374.0							4.0	11.0	53.0	19.0		2.0				2.0		28.0	17.0	60.0	20.0	114.0	3.0	10.0	3.0	177.0						1.0	999.0
5608	snober									1.0	3.0	2.0	1.0		2.0	2.0	5.0	2.0	4.0	76.0							1.0	3.0	10.0	3.0		1.0						13.0	9.0	42.0	15.0	50.0	4.0	24.0	12.0	50.0							335.0
5609	sociabiliser												1.0							24.0							1.0	1.0		1.0								2.0	1.0			4.0			1.0	2.0							38.0
5610	socialiser								1.0			1.0	3.0		1.0		1.0		3.0	100.0								1.0	4.0								2.0	8.0	2.0	2.0	6.0	16.0	1.0	14.0	4.0	6.0							176.0
5611	sodomiser							1.0	2.0			1.0						1.0	5.0	83.0								6.0	5.0	6.0		1.0		1.0				1.0		1.0	5.0	16.0	5.0	41.0	8.0	87.0							276.0
5612	soigner		1.0			1.0	14.0	19.0	116.0	24.0	20.0	37.0	172.0	3.0	73.0	40.0	19.0	29.0	188.0	6379.0							21.0	388.0	397.0	92.0		11.0	7.0	8.0	12.0	43.0	33.0	442.0	181.0	186.0	212.0	1243.0	58.0	470.0	162.0	1701.0			1.0	2.0		3.0	12808.0
5613	solder					1.0	9.0		1.0			2.0	13.0					1.0	1.0	67.0							1.0	2.0	3.0	2.0		2.0				3.0	1.0	8.0	1.0	5.0	12.0	41.0	19.0	45.0	30.0	102.0				9.0			381.0
5614	solenniser																			2.0																																	2.0
5615	solidariser																		1.0	2.0																	1.0									1.0							5.0
5616	solidifier					1.0							2.0						1.0	55.0										4.0					1.0						9.0	36.0	2.0	8.0	2.0	25.0							146.0
5617	soliloquer																			2.0																			1.0			2.0											5.0
5618	solliciter						4.0	2.0	12.0	1.0	1.0	4.0	9.0		4.0	1.0		4.0	14.0	259.0							4.0	13.0	7.0	20.0		1.0			2.0	2.0	42.0	107.0	24.0	7.0	29.0	152.0	13.0	78.0	82.0	312.0							1210.0
5619	solubiliser																			1.0																										2.0							3.0
5620	solutionner				1.0								3.0						2.0	47.0							1.0	2.0	1.0	1.0							2.0		2.0		2.0	13.0				12.0							89.0
5621	somatiser												1.0						1.0	2.0																		4.0		3.0	1.0	7.0											19.0
5622	sombrer		7.0			5.0	71.0	9.0	6.0	6.0	4.0	7.0	56.0	1.0	9.0	2.0	1.0	9.0	33.0	558.0							7.0	8.0	6.0	19.0		3.0		1.0		17.0	15.0	42.0	10.0	27.0	32.0	99.0		3.0	3.0	336.0						3.0	1415.0
5623	sommeiller												7.0		3.0			7.0	28.0	14.0								1.0	10.0	2.0								1.0	1.0	4.0	27.0	168.0				7.0							280.0
5624	sommer						3.0		1.0				2.0			1.0		2.0	1.0	68.0								8.0	31.0	7.0						1.0	6.0	97.0	3.0	137.0	53.0	1151.0	1.0	13.0	15.0	57.0				63.0	2.0		1723.0
5625	somnoler						1.0		1.0						30.0	2.0		2.0	14.0	46.0									1.0	14.0							1.0	13.0	5.0	4.0	6.0	25.0				20.0							185.0
5626	sonder	1.0					1.0		6.0	2.0	1.0	1.0	4.0	2.0	9.0	2.0		5.0	11.0	402.0							3.0	40.0	20.0	22.0						1.0	6.0	27.0	12.0	7.0	30.0	97.0	1.0	13.0	20.0	157.0				1.0			904.0
5627	songer		6.0			1.0	28.0	8.0	60.0	8.0	2.0	1.0	21.0	11.0	181.0	43.0	19.0	7.0	79.0	729.0		1.0				1.0	16.0	387.0	105.0	59.0	1.0	30.0	10.0	10.0	4.0	29.0	16.0	416.0	190.0	212.0	41.0	301.0	1.0	1.0	1.0	1058.0				2.0			4096.0
5628	sonner		1.0			8.0	114.0	4.0	72.0	8.0	5.0	80.0	375.0	1.0	20.0	13.0	13.0	74.0	819.0	2886.0						1.0	14.0	601.0	759.0	45.0	1.0	6.0		1.0	7.0	90.0	7.0	231.0	75.0	149.0	668.0	10044.0	5.0	143.0	38.0	2952.0				1.0	5.0		20336.0
5629	sonoriser						1.0						1.0							3.0																					1.0	2.0	1.0	2.0	1.0	9.0							21.0
5630	sophistiquer																			2.0																						2.0	29.0	99.0	61.0	217.0							410.0
5631	sortir	8.0	98.0	1.0	2.0	74.0	652.0	487.0	2240.0	1095.0	1923.0	714.0	5801.0	332.0	1682.0	997.0	789.0	755.0	4283.0	106336.0						3.0	3560.0	22776.0	21547.0	3378.0	35.0	658.0	122.0	360.0	132.0	939.0	942.0	11428.0	3952.0	9654.0	5197.0	23702.0	869.0	11209.0	5632.0	28869.0		2096.0	6.0	1246.0		4086.0	290667.0
5632	soubresauter																																									1.0											1.0
5633	soucier		3.0	1.0		1.0	6.0	5.0	37.0	6.0	16.0	10.0	131.0	1.0	165.0	16.0	144.0	77.0	496.0	2816.0							12.0	225.0	127.0	36.0		65.0	6.0	21.0	20.0	102.0	92.0	1634.0	796.0	1035.0	596.0	2859.0	2.0	88.0	27.0	287.0		5.0		3.0		4.0	11973.0
5634	souder		1.0				4.0		1.0	1.0		1.0	4.0		4.0	1.0		2.0	8.0	293.0								5.0	11.0	4.0						2.0	3.0	5.0	5.0	7.0	14.0	44.0	58.0	75.0	261.0	151.0							965.0
5635	soudoyer					2.0	1.0		3.0	1.0	1.0	1.0	1.0		4.0	4.0		4.0	29.0	584.0							4.0	11.0	13.0	31.0		1.0				2.0	3.0	17.0	20.0	25.0	11.0	65.0	4.0	32.0	56.0	408.0							1338.0
5636	souffler		1.0			2.0	54.0	1.0	64.0	7.0	16.0	15.0	100.0	1.0	20.0	11.0	9.0	18.0	212.0	1821.0							22.0	345.0	217.0	163.0		9.0		3.0	2.0	19.0	4.0	129.0	62.0	143.0	128.0	1999.0	30.0	87.0	41.0	677.0							6432.0
5637	souffleter								1.0																				1.0											3.0		11.0				5.0							21.0
5638	souffrir	1.0	1.0		3.0	13.0	25.0	31.0	101.0	124.0	200.0	115.0	406.0	17.0	225.0	123.0	97.0	127.0	1263.0	8215.0							11.0	171.0	151.0	432.0	4.0	51.0	15.0	25.0	25.0	104.0	159.0	1547.0	858.0	1165.0	1384.0	5357.0	1.0	1.0	24.0	4498.0				3.0	1.0	3.0	27077.0
5639	soufrer													1.0		1.0			5.0											7.0			1.0					4.0	2.0	2.0	8.0	15.0											46.0
5640	souhaiter		7.0			4.0	14.0	14.0	222.0	86.0	76.0	15.0	66.0	71.0	614.0	419.0	166.0	119.0	688.0	2565.0							232.0	1132.0	780.0	301.0	149.0	1212.0	233.0	145.0	70.0	491.0	884.0	7193.0	2960.0	1644.0	758.0	4568.0	24.0	69.0	21.0	2140.0		2.0	4.0	4.0	1.0	4.0	30167.0
5641	souiller						1.0	2.0	10.0	2.0	6.0	4.0	14.0	1.0	4.0	2.0	1.0	6.0	8.0	271.0							1.0	11.0	16.0	15.0		3.0	1.0	1.0	4.0	14.0		5.0	23.0	21.0	33.0	102.0	55.0	245.0	74.0	458.0				1.0			1415.0
5642	soulager					1.0	6.0	2.0	16.0	6.0	3.0	4.0	210.0	1.0	4.0		3.0	4.0	49.0	1910.0							8.0	48.0	88.0	19.0		3.0	1.0	2.0	1.0	131.0	3.0	63.0	30.0	17.0	60.0	691.0	21.0	1305.0	227.0	1803.0							6740.0
5643	soulever		5.0			11.0	48.0	7.0	27.0	2.0	7.0	45.0	83.0	3.0	20.0	14.0	10.0	15.0	80.0	2032.0							47.0	683.0	699.0	101.0		11.0	3.0	1.0	8.0	43.0	16.0	171.0	75.0	132.0	164.0	916.0	43.0	128.0	75.0	714.0			1.0	1.0		1.0	6442.0
5644	souligner					1.0	2.0	4.0	11.0	3.0		1.0	7.0		14.0	5.0		4.0	17.0	539.0							12.0	21.0	21.0	45.0		1.0				2.0	4.0	52.0	4.0	8.0	26.0	135.0	6.0	15.0	29.0	339.0							1328.0
5645	soumettre					9.0	14.0	22.0	111.0	26.0	11.0	15.0	75.0	6.0	8.0	11.0	2.0	7.0	17.0	1696.0		2.0					16.0	128.0	232.0	34.0	4.0	13.0	7.0	1.0	1.0	15.0	41.0	151.0	62.0	43.0	48.0	211.0	113.0	375.0	404.0	952.0		11.0		5.0		39.0	4938.0
5646	soumissionner																			5.0										1.0							1.0					1.0				5.0							13.0
5647	souper					2.0	1.0	10.0	8.0	11.0	2.0		14.0	3.0	6.0	3.0	1.0		9.0	933.0		1.0					8.0	7.0	4.0	4.0		1.0				3.0	8.0	24.0	7.0	8.0	6.0	129.0				200.0							1413.0
5648	soupeser										1.0				1.0				2.0	15.0							1.0	8.0	6.0	2.0								5.0	4.0	3.0		6.0				9.0							63.0
5649	soupirer					1.0	22.0		4.0	1.0		1.0	6.0	1.0	4.0	1.0	6.0	7.0	13.0	153.0							6.0	9.0	471.0	68.0		2.0				1.0	2.0	40.0	22.0	52.0	71.0	1194.0				48.0							2206.0
5650	soupçonner					2.0	3.0		3.0	1.0	2.0	31.0	115.0	22.0	201.0	66.0	35.0	50.0	277.0	514.0								27.0	25.0	20.0	1.0	14.0	9.0	9.0	10.0	82.0	103.0	645.0	308.0	144.0	217.0	880.0	17.0	178.0	115.0	934.0		1.0		1.0		4.0	5066.0
5651	souquer																			3.0							3.0	61.0	11.0											1.0	1.0	5.0				1.0							86.0
5652	sourciller						1.0		1.0				2.0						2.0	143.0							1.0	1.0	2.0			1.0		1.0		3.0				2.0	2.0	8.0		1.0		53.0							224.0
5653	sourdre																			9.0									1.0									1.0				23.0								1.0		7.0	42.0
5654	sourire				1.0	3.0	20.0	13.0	54.0	11.0	41.0	17.0	140.0	2.0	98.0	20.0	100.0	59.0	573.0	3729.0		2.0		3.0	4.0	1.0	14.0	1675.0	229.0	521.0		21.0	4.0	8.0	9.0	25.0	17.0	623.0	509.0	1274.0	358.0	2266.0				1091.0		18.0		55.0		134.0	13742.0
5655	sous-alimenter																			2.0																						1.0	2.0	8.0	6.0	11.0							30.0
5656	sous-alimenté																																											1.0	1.0								2.0
5657	sous-employer																			1.0																							2.0		4.0	7.0							14.0
5658	sous-entendre						2.0			1.0					36.0	10.0	7.0	1.0	28.0	64.0								5.0	5.0	9.0			1.0	2.0		8.0	1.0	55.0	185.0	182.0	9.0	198.0	2.0	1.0	2.0	167.0		2.0				1.0	984.0
5659	sous-estimer								11.0	2.0	1.0	1.0	10.0	2.0	12.0	6.0		11.0	27.0	592.0							22.0	378.0	418.0	11.0		16.0	1.0	2.0		1.0	8.0	48.0	265.0	262.0	74.0	209.0	23.0	176.0	91.0	930.0						1.0	3611.0
5660	sous-exploiter																		2.0																							1.0	2.0	3.0	2.0	2.0							12.0
5661	sous-exposer														1.0															2.0													3.0	3.0	2.0	4.0							15.0
5662	sous-louer								1.0							1.0	1.0	1.0	7.0	69.0										2.0		1.0					2.0	33.0	7.0	3.0	3.0	28.0		2.0		36.0							197.0
5663	sous-payer																		1.0	9.0										2.0							1.0	1.0	1.0		2.0	5.0	13.0	28.0	46.0	78.0							187.0
5664	sous-tendre																		3.0	1.0																					6.0	20.0	1.0	1.0		1.0							33.0
5665	sous-titrer												1.0							6.0									113.0									1.0		6.0		36.0	2.0	12.0	110.0	180.0				19.0			486.0
5666	sous-traiter															2.0		4.0	1.0	37.0							2.0		4.0	6.0						1.0	2.0	12.0	4.0	2.0	14.0	30.0	2.0	2.0	1.0	20.0							146.0
5667	sous-utiliser																																						1.0					1.0	5.0	7.0							14.0
5668	sous-virer																			3.0																						4.0											7.0
5669	sous-évaluer						1.0								1.0				2.0	5.0																		1.0	1.0	1.0	1.0	2.0	29.0	10.0	8.0	34.0							96.0
5670	souscapitaliser																																											1.0									1.0
5671	souscrire							1.0	1.0				5.0		3.0	2.0			1.0	93.0								3.0	5.0	5.0		2.0		1.0	1.0	1.0		32.0	10.0	6.0	5.0	16.0	3.0	11.0	2.0	99.0		4.0				1.0	313.0
5672	sousestimer																											1.0											3.0					2.0		1.0							7.0
5673	soustraire								5.0				4.0					1.0		273.0								12.0	10.0	8.0						1.0	1.0	9.0	11.0	9.0	4.0	44.0	4.0	13.0	11.0	53.0				2.0		1.0	476.0
5674	soutenir					2.0	11.0	66.0	398.0	76.0	50.0	94.0	362.0	11.0	89.0	84.0	40.0	102.0	299.0	5099.0						1.0	40.0	324.0	216.0	160.0	3.0	96.0	22.0	53.0	26.0	87.0	200.0	1184.0	320.0	405.0	832.0	2095.0	39.0	555.0	205.0	1688.0		37.0		108.0	2.0	175.0	15656.0
5675	soutirer		1.0			1.0		1.0	9.0	2.0	5.0	7.0	3.0		1.0	1.0			13.0	570.0								4.0	2.0	2.0		1.0		1.0		1.0		14.0	6.0	9.0	5.0	36.0	2.0	9.0	4.0	112.0							822.0
5676	souvenir		20.0			4.0	72.0	90.0	1535.0	401.0	530.0	289.0	1205.0	6.0	597.0	248.0	141.0	50.0	442.0	10138.0							94.0	2772.0	6358.0	92.0	4.0	584.0	70.0	102.0	24.0	172.0	124.0	29714.0	11087.0	26734.0	660.0	3784.0	8.0	464.0	58.0	1364.0		1110.0	4.0	480.0		671.0	102302.0
5677	soûler					1.0	2.0		5.0	2.0	5.0	3.0	13.0		8.0	3.0	5.0	6.0	42.0	738.0							12.0	19.0	38.0	8.0		7.0			2.0	6.0	5.0	94.0	25.0	110.0	46.0	185.0	9.0	65.0	31.0	198.0						1.0	1694.0
5678	spammer																			7.0										1.0										1.0	1.0	1.0				2.0							13.0
5679	speeder																		1.0	41.0							1.0	1.0	2.0									4.0		3.0		9.0		3.0		6.0							71.0
5680	spiraler																													1.0											1.0												2.0
5681	spiritualiser																		1.0																											1.0							2.0
5682	spitter																			160.0																																	160.0
5683	splitter																	1.0		7.0								1.0														3.0				6.0							18.0
5684	spolier				1.0						1.0									13.0										3.0									1.0	2.0		7.0	2.0	4.0	15.0	31.0							80.0
5685	sponsoriser								4.0			1.0	10.0	1.0	1.0	2.0		1.0	12.0	145.0								1.0	5.0	5.0					1.0	6.0	1.0	17.0	4.0	6.0	20.0	86.0	9.0	79.0	25.0	181.0							623.0
5686	sporuler																			1.0																										2.0							3.0
5687	sprinter											1.0	2.0		2.0		1.0		1.0	43.0									5.0	7.0		1.0							2.0	1.0	3.0	12.0				10.0							91.0
5688	spécialiser						1.0		1.0	2.0			3.0				1.0	3.0	2.0	99.0								2.0	6.0	9.0						2.0	7.0	30.0	5.0	12.0	22.0	63.0	41.0	355.0	187.0	866.0							1719.0
5689	spécifier												4.0					2.0	14.0	59.0							1.0	16.0	4.0	8.0						1.0			3.0	1.0	8.0	47.0	2.0	1.0	5.0	166.0							342.0
5690	spéculer						1.0	3.0	1.0			4.0	1.0	1.0	5.0	1.0	1.0	5.0	4.0	356.0							6.0	7.0	8.0	15.0		2.0	1.0		1.0		3.0	18.0	24.0	8.0	25.0	66.0				56.0							623.0
5691	squatter								2.0	1.0	2.0	2.0	2.0	1.0	10.0	2.0	6.0	14.0	49.0	319.0								2.0	12.0	10.0				1.0		4.0	2.0	68.0	13.0	44.0	55.0	135.0		7.0	2.0	66.0							831.0
5692	squeezer																			3.0								1.0	20.0	1.0								3.0		1.0	2.0	10.0			1.0	5.0				1.0			48.0
5693	stabiliser					1.0	1.0	4.0	4.0	1.0	1.0	3.0	32.0					1.0	6.0	845.0							11.0	128.0	94.0	6.0						3.0	7.0	16.0	7.0	16.0	64.0	281.0	13.0	167.0	41.0	370.0							2123.0
5694	stagner						1.0					1.0	1.0	1.0	3.0			3.0	17.0	46.0										6.0						2.0	3.0	9.0	7.0	3.0	32.0	102.0				23.0							260.0
5695	standardiser																			4.0									1.0								3.0					1.0	1.0	2.0	3.0	1.0							16.0
5696	starifier																												1.0																1.0								2.0
5697	stater						1.0													2.0									43.0									16.0		16.0		139.0											217.0
5698	stationner					1.0							8.0		1.0			3.0	17.0	165.0								24.0	14.0	3.0						1.0	1.0	7.0	4.0	2.0	10.0	34.0	26.0	72.0	72.0	246.0							711.0
5699	statuer						1.0	3.0	15.0	1.0		1.0	21.0			6.0		1.0	2.0	137.0							3.0	2.0		12.0			1.0			1.0	6.0	19.0	5.0	1.0	6.0	63.0		3.0	2.0	156.0				5.0			473.0
5700	statufier					1.0														1.0																								1.0	2.0	4.0							9.0
5701	stigmatiser																		1.0	17.0									2.0	6.0							1.0	1.0	1.0	4.0	4.0	4.0	2.0	8.0	8.0	17.0							76.0
