	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
90	adire						2.0						23.0							2.0									1.0													26.0				12.0							66.0
91	adjectiver																																							1.0													1.0
92	adjoindre						2.0		1.0				2.0							18.0								1.0	2.0	1.0		1.0						6.0				48.0		61.0	15.0	210.0							368.0
93	adjuger																			14.0								2.0	4.0								1.0	4.0				4.0		21.0	4.0	408.0							462.0
94	adjurer								1.0										1.0																		2.0	33.0			2.0	3.0				1.0							43.0
95	admettre		1.0				119.0	20.0	100.0	73.0	71.0	37.0	198.0	11.0	36.0	66.0	22.0	13.0	65.0	8057.0	3.0	1.0					1122.0	646.0	1385.0	292.0	2.0	55.0	16.0	18.0	21.0	66.0	68.0	2407.0	526.0	468.0	145.0	1040.0	88.0	602.0	433.0	2067.0		49.0	4.0	123.0		146.0	20682.0
96	administrer					1.0	4.0	6.0	11.0	4.0			18.0	4.0	6.0	8.0		5.0	22.0	492.0							2.0	45.0	6.0	21.0		3.0			1.0	3.0	12.0	52.0	19.0	10.0	24.0	88.0	15.0	73.0	31.0	383.0							1369.0
97	admirer		6.0			2.0	7.0	4.0	20.0	5.0	4.0	17.0	28.0	38.0	533.0	66.0	54.0	51.0	285.0	1491.0	1.0						23.0	488.0	274.0	56.0	1.0	10.0	2.0	9.0	4.0	8.0	111.0	3153.0	185.0	214.0	263.0	728.0	24.0	129.0	34.0	624.0		2.0		1.0		1.0	8956.0
98	admonester											1.0							2.0	9.0								1.0		2.0								2.0				1.0		1.0		6.0							25.0
99	adonner					1.0	1.0	1.0	3.0	1.0		1.0	4.0		8.0		1.0	9.0	37.0	134.0								3.0	1.0	20.0					1.0	5.0	4.0	25.0	7.0	8.0	38.0	74.0		8.0	10.0	43.0							448.0
100	adopter	3.0	1.0			14.0	28.0	14.0	29.0	11.0	4.0	21.0	67.0	13.0	10.0	17.0	1.0	7.0	32.0	2508.0							31.0	66.0	42.0	48.0	2.0	13.0	6.0	6.0	3.0	19.0	34.0	80.0	38.0	47.0	82.0	315.0	49.0	816.0	146.0	1927.0		1.0					6551.0
101	adorer		21.0			10.0	30.0	12.0	550.0	129.0	75.0	100.0	164.0	48.0	1855.0	75.0	406.0	378.0	2701.0	5652.0						1.0	14.0	30.0	112.0	21.0	58.0	4815.0	56.0	214.0	265.0	917.0	300.0	37120.0	466.0	1733.0	4040.0	8629.0	46.0	665.0	128.0	4940.0		2.0		2.0		5.0	76785.0
102	adosser		1.0																1.0	18.0								9.0	11.0	2.0		1.0				1.0		2.0	7.0	1.0		6.0	4.0	13.0	12.0	34.0							123.0
103	adouber												2.0			1.0				14.0							1.0		1.0			1.0				1.0	3.0	25.0	1.0		1.0	4.0			2.0	41.0		2.0					100.0
104	adoucir					1.0	2.0		2.0	1.0		7.0	36.0	1.0	2.0			1.0	8.0	383.0							2.0	9.0	12.0	8.0		1.0		2.0	1.0	19.0		12.0	2.0	14.0	13.0	133.0	3.0	54.0	14.0	116.0				1.0		9.0	869.0
105	adresser		1.0		1.0	4.0	39.0	17.0	108.0	30.0	17.0	12.0	99.0	2.0	136.0	26.0	17.0	17.0	178.0	1873.0							13.0	455.0	251.0	86.0	1.0	23.0	1.0	5.0	1.0	14.0	40.0	757.0	296.0	293.0	133.0	1224.0	161.0	473.0	101.0	897.0		2.0		5.0		3.0	7812.0
106	adsorber																																									1.0											1.0
107	aduler												2.0		10.0	1.0		4.0	7.0	23.0								2.0	2.0	2.0								3.0	2.0	1.0	15.0	22.0	5.0	35.0	11.0	73.0							220.0
108	adultérer																			1.0									1.0	1.0												1.0				1.0							5.0
109	advenir						53.0					3.0	331.0						21.0	166.0										4.0					1.0	93.0		1.0			1.0	174.0		5.0	3.0	275.0		9.0				363.0	1503.0
110	affabuler										1.0				2.0				3.0	8.0								1.0										2.0	6.0	6.0	3.0	16.0				1.0							49.0
111	affadir												1.0							2.0																						2.0										1.0	6.0
112	affaiblir					3.0	2.0	1.0	6.0	3.0		7.0	54.0	2.0			1.0	5.0	32.0	497.0							2.0		4.0	25.0		1.0		2.0	1.0	40.0	8.0	35.0	19.0	32.0	117.0	485.0	19.0	129.0	120.0	479.0		4.0		1.0		23.0	2159.0
113	affairer				1.0		1.0		1.0			1.0			2.0		2.0	8.0	13.0	24.0								1.0	17.0	8.0								14.0	3.0	47.0	32.0	453.0	4.0	10.0	5.0	13.0				84.0		2.0	746.0
114	affaisser					1.0	2.0					2.0	2.0					3.0	15.0	39.0									5.0	2.0						1.0		1.0		3.0	20.0	63.0	9.0	15.0	3.0	68.0						1.0	255.0
115	affaiter																																							2.0		1.0											3.0
116	affaler						2.0			1.0									1.0	78.0								29.0	8.0	4.0							1.0	6.0		6.0	4.0	19.0	4.0	35.0	17.0	90.0							305.0
117	affamer							3.0	7.0	1.0		1.0	4.0		3.0			3.0	22.0	193.0								8.0	11.0	22.0						3.0	4.0	10.0	5.0	18.0	51.0	66.0	52.0	569.0	469.0	1141.0							2666.0
118	affecter					3.0	13.0	6.0	14.0	2.0	4.0	50.0	387.0	1.0	2.0	1.0	1.0	21.0	118.0	1363.0							4.0	22.0	139.0	98.0		1.0	1.0		13.0	142.0	3.0	166.0	13.0	10.0	362.0	1844.0	108.0	499.0	356.0	1707.0	1.0					1.0	7476.0
119	affectionner														4.0				9.0	2.0																	1.0	24.0	8.0	5.0	12.0	30.0		1.0		2.0							98.0
120	affermer								1.0											2.0																							1.0										4.0
121	affermir												3.0							20.0								1.0		1.0											3.0	7.0		3.0	3.0	6.0						5.0	52.0
122	afficher					1.0	6.0	10.0	24.0	3.0	7.0	6.0	32.0	2.0	10.0	6.0	9.0	15.0	65.0	689.0							10.0	140.0	135.0	76.0		3.0	2.0	1.0	1.0	9.0	13.0	66.0	33.0	53.0	130.0	396.0	63.0	124.0	67.0	390.0				2.0			2599.0
123	affiler																			13.0								1.0		1.0										1.0		3.0	1.0	7.0	1.0	4.0							32.0
124	affilier																			9.0																				1.0		2.0	3.0	32.0	35.0	97.0							179.0
125	affiner							2.0	2.0			1.0	3.0	1.0				1.0	3.0	216.0							4.0	5.0	6.0	5.0		1.0				2.0	2.0	16.0	3.0	3.0	8.0	55.0	8.0	7.0	12.0	61.0							427.0
126	affirmer	1.0				12.0	34.0		4.0	3.0	2.0	9.0	23.0	2.0	5.0	19.0	7.0	46.0	136.0	1368.0							3.0	37.0	48.0	232.0		7.0	1.0	1.0	3.0	10.0	36.0	280.0	221.0	68.0	471.0	1405.0	2.0	30.0	9.0	665.0							5200.0
127	affleurer																	1.0	5.0	2.0																					2.0	4.0											14.0
128	affliger					1.0	5.0		2.0			1.0	6.0		2.0			2.0	3.0	36.0							1.0	11.0	14.0	15.0		1.0			3.0	2.0		23.0	4.0	17.0	26.0	82.0	7.0	59.0	40.0	114.0							477.0
129	affluer					9.0	1.0					15.0	4.0			1.0		23.0	10.0	121.0								1.0		15.0					4.0	1.0	1.0				138.0	80.0			1.0	25.0					2.0		452.0
130	affoler								2.0			3.0	4.0		3.0	1.0	1.0	4.0	14.0	289.0							24.0	109.0	104.0	6.0		1.0				8.0	1.0	32.0	23.0	40.0	79.0	289.0	4.0	93.0	36.0	140.0							1310.0
131	affranchir						1.0		10.0	1.0		1.0	13.0				1.0		2.0	173.0							1.0	7.0	12.0	1.0		2.0	1.0			1.0		9.0	1.0	4.0	5.0	25.0	1.0	37.0	29.0	82.0		3.0		1.0		4.0	428.0
132	affriander																																									1.0											1.0
133	affrioler																			1.0																1.0						1.0											3.0
134	affronter					26.0	25.0	77.0	114.0	56.0	57.0	64.0	187.0	9.0	24.0	17.0	7.0	52.0	69.0	6647.0							60.0	118.0	264.0	164.0	4.0	25.0	8.0	10.0	8.0	36.0	101.0	192.0	117.0	191.0	341.0	596.0	20.0	38.0	117.0	793.0						3.0	10637.0
135	affréter						1.0		4.0			1.0	1.0							61.0							2.0	6.0	1.0	2.0						1.0		5.0			2.0	16.0		4.0	5.0	102.0							214.0
136	affubler																1.0			21.0							1.0			2.0							1.0	1.0	2.0	2.0	2.0	8.0	3.0	22.0	9.0	57.0							132.0
137	afférer																													1.0																							1.0
138	affûter								3.0				1.0		1.0			1.0	4.0	76.0							2.0	8.0	14.0	1.0								11.0	1.0	3.0	3.0	13.0	19.0	57.0	34.0	107.0							359.0
139	africaniser																			1.0																							6.0	2.0									9.0
