	lemme	case	nb	graphie
90661	tester	pi2P	2	tester-testez
90784	tirer	ii3P	2	tiraient-tiré
90785	tirer	ii3S	2	tirait-tiré
91000	tolérer	pi2P	2	tolérer-tolérez
91023	tomber	ii3P	3	tombaient-tombé-tombée
91024	tomber	ii3S	3	tombait-tombé-tombées
91028	tomber	pI2P	2	tomber-tombez
91029	tomber	pI2S	2	tombe-tombé
91038	tomber	pi2P	2	tomber-tombez
91282	tortiller	pi2P	2	tortiller-tortillez
91304	torturer	ii3S	2	torturait-torturée
91365	toucher	ii3P	2	touchaient-touché
91366	toucher	ii3S	2	touchait-touché
91445	tourmenter	ii3P	2	tourmentaient-tourmenté
91456	tourmenter	pi2P	2	tourmenter-tourmentez
91486	tourner	ii3P	2	tournaient-tourné
91487	tourner	ii3S	2	tournait-tourné
91491	tourner	pI2P	2	tourner-tournez
91501	tourner	pi2P	2	tourner-tournez
91589	tracasser	pi2P	2	tracasser-tracassez
91621	tracer	pi2P	2	tracer-tracez
91641	tracter	pi1P	2	tractes-tractons
91778	traire	pi2P	2	traire-trayez
91799	traiter	ii3P	3	traitaient-traité-traitées
91800	traiter	ii3S	3	traitait-traité-traitée
91804	traiter	pI2S	2	traite-traité
91870	trancher	pi2P	2	trancher-tranchez
91977	transformer	ii3P	3	transformaient-transformé-transformée
91978	transformer	ii3S	2	transformait-transformé
91981	transformer	pI2P	2	transformer-transformez
91990	transformer	pi2P	2	transformer-transformez
92032	transférer	ii3P	2	transféraient-transféré
92033	transférer	ii3S	3	transférait-transférer-transféré
92044	transférer	pi2P	2	transférer-transférez
92155	transmettre	pi2P	2	transmettez-transmettre
92239	transpirer	pi2P	2	transpirer-transpirez
92275	transporter	ii3P	2	transportaient-transporté
92276	transporter	ii3S	2	transportait-transporté
92339	traquer	ii3P	3	traquaient-traqué-traqués
92340	traquer	ii3S	2	traquait-traqué
92354	traquer	pi2P	2	traquer-traquez
92374	traumatiser	pi2P	2	traumatiser-traumatisez
92395	travailler	ii3P	2	travaillaient-travaillé
92396	travailler	ii3S	2	travaillait-travaillé
92434	traverser	ii3P	2	traversaient-traversé
92435	traverser	ii3S	2	traversait-traversé
92447	traverser	pi1S	2	traverse-traversé
92448	traverser	pi2P	2	traverser-traversez
92509	traîner	ii3P	2	traînaient-traîné
92510	traîner	ii3S	2	traînait-traîné
92559	trembler	pi2P	2	trembler-tremblez
92597	tremper	pi2P	2	tremper-trempez
92650	tresser	pI2S	2	tresse-tressé
92690	tricher	ii3P	2	trichaient-triché
92691	tricher	ii3S	2	trichait-triché
92703	tricher	pi2P	2	tricher-trichez
92748	trier	ii3S	3	triait-triées-triés
93033	tromper	ii3P	3	trompaient-trompé-trompés
93034	tromper	ii3S	3	trompait-trompé-trompée
93046	tromper	pi1S	2	trompe-trompé
93161	troubler	ii3P	2	troublaient-troublé
93237	trouver	ii3P	5	trouvaient-trouvé-trouvée-trouvées-trouvés
93238	trouver	ii3S	3	trouvait-trouvé-trouvés
93251	trouver	pi1P	2	trouves-trouvons
93252	trouver	pi1S	2	trouve-trouvé
93328	truquer	ii3S	2	truquait-truqué
93364	trébucher	ii3S	2	trébuchait-trébuché
93482	tuer	ii3P	3	tuaient-tué-tuée
93483	tuer	ii3S	3	tuait-tué-tuée
93496	tuer	pi1S	2	tue-tué
93766	télégraphier	ii3S	2	télégraphiait-télégraphié
93814	téléphoner	pi2P	2	téléphoner-téléphonez
94070	usurper	ii3S	2	usurpait-usurper
94096	utiliser	ii3P	3	utilisaient-utilisé-utilisés
94097	utiliser	ii3S	3	utilisait-utilisé-utilisées
94101	utiliser	pI2S	2	utilise-utilisé
94193	vagabonder	pi2P	2	vagabonder-vagabondez
94224	vaincre	pI2P	2	vaincre-vainquez
94439	vanter	pi2P	2	vanter-vantez
94457	vaporiser	ii3S	2	vaporisait-vaporisé
94550	vautrer	pi2P	2	vautrer-vautrez
94671	venger	pI2P	2	venger-vengez
94681	venger	pi2P	2	venger-vengez
94705	venir	ii3S	2	venait-venir
94706	venir	inf	2	venir-viens
94722	venir	pi1S	2	viennent-viens
94785	verbaliser	pi2P	2	verbaliser-verbalisez
94833	verrouiller	ii3P	3	verrouillaient-verrouillé-verrouillée
94837	verrouiller	pI2P	2	verrouiller-verrouillez
94941	vibrer	pI2P	2	vibrer-vibrez
94946	vibrer	pi2P	2	vibrer-vibrez
94998	vider	ii3P	2	vidaient-vidé
95002	vider	pI2P	2	vider-videz
95011	vider	pi2P	2	vider-videz
95124	violer	ii3P	3	violaient-violé-violée
95125	violer	ii3S	2	violait-violé
95163	virer	ii3P	2	viraient-viré
95164	virer	ii3S	2	virait-viré
95167	virer	pI2P	2	virer-virez
95176	virer	pi2P	2	virer-virez
95290	visiter	ii3P	2	visitaient-visité
95291	visiter	ii3S	2	visitait-visité
95315	visser	ii3S	2	vissait-vissé
95319	visser	pi2P	2	visser-vissez
95409	vivre	ii3S	2	vivait-vivre
95412	vivre	pI2P	2	vivez-vivre
95471	voguer	pi2P	2	voguer-voguez
95486	voiler	ii3P	2	voilaient-voilé
95487	voiler	ii3S	2	voilait-voilé
95495	voiler	pi2P	2	voiler-voilez
95522	voir	inf	2	voir-voyez
95536	voir	pi1S	2	vois-vus
95538	voir	pi2S	2	vois-vus
95599	voler	ii3P	2	volaient-volé
95600	voler	ii3S	3	volait-voler-volé
95603	voler	pI2P	2	voler-volez
95613	voler	pi2P	2	voler-volez
95700	voter	ii3S	2	votait-voté
95768	vouloir	ii1S	2	soulais-voulais
95769	vouloir	ii2P	2	voulais-vouliez
95773	vouloir	inf	2	voulez-vouloir
95778	vouloir	pI2P	2	veuillez-voulez
95782	vouloir	pc2P	2	voudrais-voudriez
95788	vouloir	pi2P	2	veux-voulez
95832	voyager	ii3P	2	voyageaient-voyagé
95833	voyager	ii3S	2	voyageait-voyagé
95846	voyager	pi2P	2	voyager-voyagez
95959	vénérer	pi2P	2	vénérer-vénérez
95981	vérifier	ii3P	2	vérifiaient-vérifié
95982	vérifier	ii3S	3	vérifiait-vérifié-vérifiés
95985	vérifier	pI2P	2	vérifier-vérifiez
95995	vérifier	pi2P	2	vérifier-vérifiez
95998	vérifier	pi3S	2	vérifie-vérifié
96209	zézayer	pi2S	2	zézaies-zézayes
96210	zézayer	pi3S	2	zézaie-zézaye
96529	échanger	ii3P	2	échangeaient-échangé
96530	échanger	ii3S	2	échangeait-échangé
96576	échapper	ii3P	3	échappaient-échappé-échappés
96590	échapper	pi2P	2	échapper-échappez
96639	échauffer	pi2P	2	échauffer-échauffez
96711	échouer	ii3P	2	échouaient-échoué
96712	échouer	ii3S	3	échouait-échouer-échoué
96837	éclater	ii3P	2	éclataient-éclaté
96838	éclater	ii3S	2	éclatait-éclaté
96883	éclipser	pi2P	2	éclipser-éclipsez
96965	économiser	ii3S	2	économisait-économisé
97037	écorcher	pi2P	2	écorcher-écorchez
97121	écouter	ii3P	2	écoutaient-écouté
97122	écouter	ii3S	2	écoutait-écouté
97126	écouter	pI2S	2	scoute-écoute
97133	écouter	pi1P	2	écoutes-écoutons
97187	écraser	ii3P	3	écrasaient-écrasé-écrasée
97191	écraser	pI2P	2	écraser-écrasez
