	graphie	lemme	cat	infover	genre	nombre	occurrences	rangFW	rangFWV	case
45611	nettoie	nettoyer	VER				10.0	104497.5	46405.0	
45678	semble	sembler	VER				10.0	104497.5	46405.0	
45774	smasher	smasher	VER				10.0	104497.5	46405.0	
45776	nageant	nager	VER		m	s	10.0	104497.5	46405.0	
45793	revenez	revenir	VER				10.0	104497.5	46405.0	
45893	revînmes	revenir	VER				10.0	104497.5	46405.0	
45956	bafouillant	bafouiller	VER		m	s	10.0	104497.5	46405.0	
46098	accrochez	accrocher	VER				10.0	104497.5	46405.0	
46172	gère	gérer	VER				10.0	104497.5	46405.0	
46184	schtroumpfer	schtroumpfer	VER				10.0	104497.5	46405.0	
46289	signifie	signifier	VER				10.0	104497.5	46405.0	
46431	corder	corder	VER				10.0	104497.5	46405.0	
46591	remets	remettre	VER				10.0	104497.5	46405.0	
46637	parlons	parler	VER				10.0	104497.5	46405.0	
46814	excitons	exciton	VER	imp:pre:1p;ind:pre:1p;	m	p	10.0	104497.5	46405.0	
47086	misa	miser	VER				10.0	104497.5	46405.0	
47208	salue	saluer	VER				10.0	104497.5	46405.0	
47328	rapporte	rapporter	VER				9.0	108023.5	48179.5	
47459	rebondie	rebondir	VER		f	s	9.0	108023.5	48179.5	
47557	terras	terrer	VER		f	p	9.0	108023.5	48179.5	
47623	cite	citer	VER				9.0	108023.5	48179.5	
47821	soulageant	soulager	VER		m	s	9.0	108023.5	48179.5	
47877	couvre	couvrir	VER				9.0	108023.5	48179.5	
47884	fia	fier	VER				9.0	108023.5	48179.5	
48099	adore	adorer	VER				9.0	108023.5	48179.5	
48159	couinant	couiner	VER		m	s	9.0	108023.5	48179.5	
48328	jappe	japper	VER				9.0	108023.5	48179.5	
48382	voulez	vouloir	VER				9.0	108023.5	48179.5	
48386	décroche	décrocher	VER				9.0	108023.5	48179.5	
48458	lâchez	lâcher	VER				9.0	108023.5	48179.5	
48475	dépêchez	dépêcher	VER				9.0	108023.5	48179.5	
48483	amenez	amener	VER				9.0	108023.5	48179.5	
48512	vois	voir	VER				9.0	108023.5	48179.5	
48587	dura	durer	VER				9.0	108023.5	48179.5	
48606	dénonçons	dénoncer	VER				9.0	108023.5	48179.5	
48627	ira	aller	VER				9.0	108023.5	48179.5	
49014	débouche	déboucher	VER				9.0	108023.5	48179.5	
49046	considère	considérer	VER				9.0	108023.5	48179.5	
49229	tapie	tapir	VER		f	s	8.0	112145.5	50269.5	
49269	comprenez	comprendre	VER				8.0	112145.5	50269.5	
49283	pave	paver	VER				8.0	112145.5	50269.5	
49292	patientez	patienter	VER				8.0	112145.5	50269.5	
49322	crache	cracher	VER				8.0	112145.5	50269.5	
49354	computer	computer	VER				8.0	112145.5	50269.5	
49406	profite	profiter	VER				8.0	112145.5	50269.5	
49407	profile	profiler	VER				8.0	112145.5	50269.5	
49430	gagnez	gagner	VER				8.0	112145.5	50269.5	
49578	contra	contrer	VER				8.0	112145.5	50269.5	
49613	plussoie	plussoyer	VER				8.0	112145.5	50269.5	
49638	poussez	pousser	VER				8.0	112145.5	50269.5	
49641	pourrait	pouvoir	VER				8.0	112145.5	50269.5	
49642	puisse	pouvoir	VER				8.0	112145.5	50269.5	
49704	osa	oser	VER				8.0	112145.5	50269.5	
49718	colores	colorer	VER				8.0	112145.5	50269.5	
49788	attaquent	attaquer	VER				8.0	112145.5	50269.5	
49814	gis	gésir	VER				8.0	112145.5	50269.5	
49832	murai	murer	VER				8.0	112145.5	50269.5	
49876	habille	habiller	VER				8.0	112145.5	50269.5	
49917	détoxifier	détoxifier	VER				8.0	112145.5	50269.5	
50230	arrange	arranger	VER				8.0	112145.5	50269.5	
50239	devinez	deviner	VER				8.0	112145.5	50269.5	
50520	sent	sentir	VER				8.0	112145.5	50269.5	
50572	libérez	libérer	VER				8.0	112145.5	50269.5	
50574	supplies	supplier	VER				8.0	112145.5	50269.5	
50595	refuse	refuser	VER				8.0	112145.5	50269.5	
50613	cessez	cesser	VER				8.0	112145.5	50269.5	
50617	sache	savoir	VER				8.0	112145.5	50269.5	
50813	rapproche	rapprocher	VER				8.0	112145.5	50269.5	
50831	servez	servir	VER				8.0	112145.5	50269.5	
50832	ratatine	ratatiner	VER				8.0	112145.5	50269.5	
50859	irisa	iriser	VER				8.0	112145.5	50269.5	
50901	reposez	reposer	VER				8.0	112145.5	50269.5	
50933	aimez	aimer	VER				8.0	112145.5	50269.5	
50971	mène	mener	VER				8.0	112145.5	50269.5	
51041	bayes	bayer	VER				8.0	112145.5	50269.5	
51056	gavons	gaver	VER		m	p	8.0	112145.5	50269.5	
51141	loves	lover	VER				8.0	112145.5	50269.5	
51205	souhaitez	souhaiter	VER				8.0	112145.5	50269.5	
51333	voletant	voleter	VER		m	s	8.0	112145.5	50269.5	
51414	cherchez	chercher	VER				7.0	116949.5	52684.5	
51461	porta	porter	VER				7.0	116949.5	52684.5	
51473	rode	roder	VER				7.0	116949.5	52684.5	
51531	recule	reculer	VER				7.0	116949.5	52684.5	
51535	poursuit	poursuivre	VER				7.0	116949.5	52684.5	
51589	halète	haleter	VER				7.0	116949.5	52684.5	
51707	externalise	externaliser	VER				7.0	116949.5	52684.5	
51779	occupez	occuper	VER				7.0	116949.5	52684.5	
51802	bénisse	bénir	VER				7.0	116949.5	52684.5	
51809	vautré	vautrer	VER		m	s	7.0	116949.5	52684.5	
